001,008$07:4,100$a,100$c,100$q,100$d,245$a,245$b,250$a,260$a,260$b,260$c,300$a,300$c
"T123526","1769","Nevile, Thomas,",,,"d. 1781.","Imitations of Juvenal and Persius.","By Thomas Nevile, A. M. Fellow of Jesus College, Cambridge.",,"London :","printed for J. Woodyer, in Cambridge: sold by J. Beecroft, in Pater-Noster-Row; J. Dodsley, Pall-Mall; T. Cadell, in the Strand; M. Hingeston and W. Brown, without Temple-Bar. [London],","MDCCLXIX. [1769]","viii,120p. ","8⁰."
"T123538","1769","Nevile, Thomas,",,,"d. 1781.","Imitations of Juvenal and Persius.","By Thomas Nevile, A. M. Fellow of Jesus College, Cambridge.",,"London :","printed for J. Woodyer, in Cambridge: sold by J. Beecroft, in Pater-Noster-Row; J. Dodsley, Pall-Mall; T. Cadell, in the Strand; M. Hingeston and W. Brown, without Temple-Bar, [London],","MDCCLXIX. [1769]","viii,120p. ","8⁰."
"T123543","1772","Kersey, John,",,,"fl. 1720.","A new English dictionary:","or, a compleat collection of the most proper and significant words, and terms of art, commonly used in the language, With A continued Short and Clear Exposition. The whole digested into Alphabetical Order; and chiefly designed for the Benefit of young Scholars, Tradesmen, Artificers, Foreigners, and the Female Sex, who would learn to spell truly; being so fitted to every Capacity, that it may be a ready and continued Help to all that want an Instructor. As also Three useful Tables, viz. I. Of proper Names of Men, especially those that are contained in the Holy Bible; shewing their true Original and Derivation. II. Of proper Names of Women; with the same Explication. III. Of Nick-Names, or English Christian Names abbreviated or made short. The eighth edition, carefully revised: with many important additions and improvements. By J. K.",,"London :","printed for L. Hawes, W. Clarke, and R. Collins; S. Crowder; S. Bladon; R. Baldwin; and W. Woodfall,","MDCCLXXII. [1772]","vii,[313]p. ","8⁰."
"T123562","1719","Justin,","Martyr, Saint.",,,"Sancti Justini philosophi & martyris cum Tryphone Judæo Dialogus,","cum Latinâ Joannis Langi versione, quamplurimis in locis correctâ; Subjunctis Emendationibus & Notis Roberti Stephani, Perionii, Sylburgii, Halloixii, Montacutii, Drusii, Colomesii, Cavii, Bulli, Grabii, pluribusque novis additis; Annexis insuper ad calcem annotationibus Langi & Kortholti; Praemissis verò, Langi Praesatione, quâ summam hujus Dialogi enarravit, Actisque Martyrii S. Justini & Sociorum; Edita à Samuele Jebb. ",,"Londini :","impensis Gul. & Joh. Innys, Bibliopolarum Londinensium,","MDCCXIX. [1719] ","[40],72,65-72,81-411,[1],39,[31]p. ","8⁰. "
"T123760","1741",,,,,"Arturi Jonstoni psalmi Davidici interpretatione,","argumentis, notisque illustrati: in usum serenissimi principis. ",,"Londini :","apud Gulielmum Innys, Danielem Browne, et Paullum Vaillant, Bibliopol. Typis Gulielmi Strahan,","MDCCXLI. [1741] ","xvi,280,273-336,[88]p.,plates :","8⁰. "
"T123979","1752",,,,,"Some other hymns and poems.","Consisting chiefly of translations from the German. ",,"London :","[s.n.],","Printed in the Year MDCCLII. [1752] ","[2],ii,24p. ","12⁰. "
"T123983","1748",,,,,"A collection of hymns: consisting chiefly of translations from the German hymn-book of the Moravian Bretheren. Part III.",,,"London :","printed for James Hutton, Bookseller, in Fetter-Lane, over-against West-Harding-Street,","MDCCXLVIII. [1748]","[4],113,[3]p. ","12⁰."
"T124020","1767","Jortin, John,",,,"1698-1770.","Remarks on ecclesiastical history.","In two volumes. ...","The second edition.","London :","printed for J. Whiston; and L. Davis and C. Reymers,","1767.","2v. ","8⁰."
"T124049","1722","Justin,","Martyr, Saint.",,,"Ioustinou philosophou kai martyros Apologia hyper Christianōn pros Antōninon ton Eusebē, Apologia 2 hyper Christianōn pros Tēn Rōmaiōn Synklēton, Pros Tryphōna Ioudaion dialogos. Cum Tryphone Judaeo. Cum notis & emendationibus Styani Thirlbii.",,,"Londini :","[prodiit ex typographeo Gulielmi Bowyer,] impensis Richardi Sare, juxta portam australem Hospitii Greiani, in vico dicto Holbourn,","MDCCXXII. [1722]","[44],468p. ","2⁰."
"T124050","1722","Justin,","Martyr, Saint.",,,"Ioustinou philosophou kai martyros Apologia hyper Christianōn pros Antōninon ton eusebē Apologia 2 hyper Christianōn pros tēn Rōmaiōn Synklēton, Pros Tryphōna Ioudaion dialogos. ... Cum notis & emendationibus Styani Thirlbii.",,,"Londini :","[prodiit ex typographeo Gulielmi Bowyer,] impensis Richardi Sare,","1722.","[44],468p. ","2⁰."
"T124078","1730","Grey, Richard,",,,"1694-1771.","Memoria technica:","or, a new method of artificial memory, applied to and exemplified in chronology, history, geography, astronomy. Also Jewish, Grecian and Roman coins, Weights and Measures, &c. With Tables proper to the respective Sciences; and Memorial Lines adapted to each Table. ",,"London :","printed for Charles King in Westminster-Hall,","MDCCXXX. [1730] ","xviii,[6],119,[1]p. ","8⁰. "
"T124094","1736","Brett, Nathaniel.",,,,"Nathaniel Brett alias Wilkins (great nephew and heir, and administrator with the will annexed) ... of Richard Watson, ... appellant. Jacob Sawbridge executor of John Brett Fisher, William Newland, George Thompson and John White (trustees for the respondent Sawbridge,) ... respondents. The appellant's case. ",,,"[London,",,"1736] ","4p. ","2⁰. "
"T124126","1770","Secker, Thomas,",,,"1693-1768.","Sermons on several subjects,","by Thomas Secker, LL.D. Late Lord Archbishop of Canterbury. Published from the original manuscripts, by Beilby Porteus D.D. and George Stinton D.D. His Grace's Chaplains. ... . To Which IS Prefixed, A Review of his Grace's Life and Character. ",,"London :","printed for J. and F. Rivington, in St. Paul's Church-Yard; and B. White, at Horace's Head, in Fleet-Street,","MDCCLXX. [1770] ","4v. ","8⁰. "
"T124153","1724","Bownas, Samuel,",,,"1676-1753.","Considerations on a pamphlet entitul'd, The duty of consulting a spiritual guide, considered.","Given and handed about to the inhabitants of Martock, Long-Sutton &c. And the author's popish arguments refuted and dectected.",,"[London] :","[s.n.],","Printed in the Year 1724.","46, [2] p. ","4⁰."
"T124178","1741","Stebbing, Henry,",,,"1687-1763.","A brief account of prayer,","and the sacrament of the Lord's Supper ; and other religious duties appertaining to the Christian worship. For the Use of Common Christians. To which is added, a discourse on speech, and the abuses of it : Delivered on several Sundays at Gray's-Inn Chapel, and published at the Request of the Masters of the Bench. By Henry Stebbing, D. D. Chaplain in Ordinary to His Majesty; and Preacher to that Honourable Society. ","The second edition.","London :","printed for Fletcher Gyles, against Grays-Inn, in Holbourn,","MDCCXLI. [1741] ","[2],x,[4],120p. ","12⁰. "
"T124474","1770","Barrington, Shute,",,,"1734-1826.","Miscellanea sacra:","containing an abstract of the scripture-history of the apostles, in a new method. With four critical essays: I. ON The Witness Of The Holy Spirit. II. ON The Distinction Between Apostles, Elders, And Brethren. III. ON The Time When Paul And Barnabas Became Apostles. IV. ON The Apostolical Decree. To which is added, An essay on the dispensations of God to mankind, AS Revealed In Scripture: Together With A Dissertation ON Hebrews XII. 22-25. Now First Published. A new edition, with large additions and corrections. ... ",,"London :","printed by W. Bowyer and J. Nichols: sold by B. White, At Horace's Head, In Fleet Street,","MDCCLXX. [1770] ","3v.,plate,tables :","8⁰. "
"T124479","1718","Broughton, John,",,,"1673 or 4-1720.","The great apostasy from Christianity,","with its evil influence on the civil state. Wherein is proved, I. That popery, in its own Nature, destroys the vitals and essentials of true religion. II. That a Popish Prince and a Protestant Nation cannot subsist together. III. That the Case is the same, and more especially so, with regard to this Nation. IV. That all Protestant Recusancy and Disaffection to our Present Government, is contradictory to Scripture, Primitive Christianity, Reason, and its own Pretensions. By John Broughton, D. D. Chaplain to his Grace the Duke of Marlborough, and Lecturer of St. Andrew Holborn. ",,"London :","printed for D. Midwinter at the three Crowns in St. Paul's Church-Yard,","1718. ","[8],xii,156p. ","8⁰. "
"T124595","1718","Gastrell, Francis,",,,"1662-1725.","Institutiones christianæ:","seu, sincerum Dei verbum. Perspicua scilicet integraque totius fidei et omnium officiorum Christiani descriptio: Ex scriptis utriusque Testamenti desumptae, & ipsis Sacrarum Scripturarum verbis traditae. Authore Reverendo admodum in Christo Patre Francisco Episcopo cestriensi. Latinè, juxta Castellionis Bibliorum interpretationem, in usum Scholarum, editæ ab A. Tooke, A. M. Geometriae Professore Greshamensi, & Scholae Carthusianae Subpraeceptore. ",,"Londini :","typis G. Bowyer; impensis Benj. Tooke, juxta Medii Templ Portam, in vico vulgo vocato Fleetstreet,","MDCCXVIII. [1718] ","[22],329,[7]p.,plate ","12⁰. "
"T124606","1733","Madden, Samuel,",,,"1686-1765.","Memoirs of the twentieth century.","Being original letters of state, under George the Sixth: relating to the most important events in Great-Britain and Europe, as to church and state, arts and sciences, trade, taxes, and treaties, peace, and war: and characters of the greatest persons of those times; from the middle of the eighteenth, to the end of the twentieth century, and the world. Received and revealed in the year 1728; and now published, for the instruction of all eminent statesmen, churchmen, patriots, politicians, projectors, papists, and protestants. In six volumes. Vol.I. ",,"London :","printed for Messieurs Osborn and Longman, Davis, and Batley, in Pater-Noster-Row; Strahan, and Clarke, in Cornhill; Rivington, Robinson, Astley, and Austen, in St. Paul's Church-Yard; Gosling, in Fleetstreet; Nourse, by Temple-Bar; Prevost, and Millar, in the Strand; Parker, in Pall-Mall; Jolliffe, by St. James's; Brindley, Shropshire, and Smith, in Bondstreet; and Gouge, and Stagg, in Westminster-Hall,","1733. ","[4],x,31,[1],154,161-323,328-527,[1]p. ","8⁰. "
"T124725","1761","Savage, Richard,",,,"d. 1743.","Various poems.","The wanderer, a moral poem. The triumph of mirth and health. And The bastard. By the late Richard Savage, Esq. To which is prefixed a preface, giving some account of them.",,"London :","printed for J. Turner, near the Tower; and sold by all booksellers in town and country,","MDCCLXI. 1761.","ix,[3],91,[i.e.115],[1]p. ","8⁰."
"T124804","1735","Hall, Fayrer.",,,,"A short account of the first settlement of the provinces of Virginia,","Maryland, New-York, New-Jersey, and Pensylvania, by the English. To which is annexed a map of Maryland, ... ",,"London :","printed in the year,","1735. ","20p.,plate :","4⁰. "
"T124811","1729","Lupton, William,",,,"1675 or 6-1726.","Twelve sermons preach'd on several occasions.","By the Reverend William Lupton, D. D. Late Prebend of Durham, and Preacher to the Honourable Society of Lincoln's-Inn. ",,"London :","printed by W. Bowyer: for T. Worrall, at the Judge's-Head, over-against St. Dunstan's-Church in Fleetstreet,","MDCCXXIX. [1729] ","[8],440p.,plate :","8⁰. "
"T125304","1769",,,,,"The modern wife. A novel.","In two volumes. ...",,"London :","printed for T. Lowndes,","1769.","2v. ","12⁰."
"T125418","1764","Butler, Samuel,",,,"1612-1680.","Hudibras,","in three parts; Written in the Time of The Late Wars: corrected and amended. With large annotations, and a preface, by Zachary Grey, LL.D. Adorn'd with a new set of cuts.","The second edition. ..","London :","printed for C. Hitch, G. Hawkins, C. Bathurst, J. Tonson, J. Worral, R. Baldwin, T. Longman, J. Bathoe, C. Corbett, T. Lownds, G. Kearsly, T. Becket, W. Nichol, and M. Richardson,","MDCCLXIV. [1764]","2v.,plates :","8⁰."
"T125476","1733","Middleton, Patrick,",,,"1662-1736.","A dissertation upon the power of the Church","in a middle way, betwixt those who screw it up to the highest, with the Papists and Scotish Presbyterians on the one Hand; and the Erastians and followers of Hugo Grotius, who on the other Hand, do wholly reject the Intrinsic Spiritual Authority wherewith Jesus Christ hath vested the Rulers of his Church. Auct. P. M. Eccl. Scot. Direptae & Gementis Presb. ",,"London :","printed for G. Strahan at the Golden-Ball against the Royal-Exchange in Cornhill,","1733. ","xx,190,[6]p. ","8⁰. "
"T125484","1773",,,,,"Select discourses,","I. Of the correspondence of the Hebrew months with the Julian, from the Latin of J. David Michaelis, Royal Professor of Goettingen. II. Of the sabbatical year. From the same. III. Of the years of jubilee, from an Anonymous Writer, in Mr. Masson's Histoire Critique de la Republic des Lettres, vol. v. art. II. p. 60, &c.",,"London :","printed for W. Bowyer and J. Nichols, at Cicero's Head, Red-Lion-Passage, Fleet-Street,","MDCCLXXIII. [1773]","iii,[1],38,*37-*38,39-76p. ","8⁰."
"T125625","1716","Bisse, Thomas,",,,"d. 1731.","Microscopium,","& certamen glaciale. ",,"[London? :","printed by William Bowyer?,","1716?] ","[2],11,[1]p. ","2⁰. "
"T125636","1740","King, William,",,,"1685-1763.","Scamnum, ecloga. ",,,"Londini :","apud T. Cooper in vico vulgò dicto Pater-Noster-Row,","MDCCXL. [1740] ","iv,10,[2]p. ","2⁰. "
"T125693","1747","Berkeley, George,",,,"1685-1753.","Siris: a chain of philosophical reflexions and inquiries concerning the virtues of tar water,","And divers other Subjects connected together and arising one from another. By the Right Rev. Dr. George Berkeley, Lord Bishop of Cloyne, And Author of The Minute Philosopher.","A new edition, with additions and emendations.","[London] :","Dublin printed, London re-printed, for W. Innys, and C. Hitch, in Pater-Noster-Row, and C. Davis in Holbourn,","MDCCXLVII. [1747]","174,[2]p. ","8⁰."
"T125698","1746","Prior, Thomas,",,,"1682?-1751.","An authentic narrative of the success of tar-water,","in curing a great number and variety of distempers; ... To which are subjoined, two letters from the author of Siris, ... By Thomas Prior, Esq","A new edition, complete.","[London] :","Dublin printed, London re-printed, for W. Innys, C. Hitch, and M. Cooper; and C. Davis in Holborn,","1746.","88p. ","8⁰."
